car_model,car_brand,car_full_name,registration_year,km_to_date,sale_price,fuel_type,transmission_type,sale_picture_link,car_age,km_age_ratio
a1,audi,audi a1 sportback 1.6 tdi sport,2015,97219,13500,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6ijznntjlzzuwmxplatitu1revlrmufqifq.is7epzf_yh8gbcnrvcjr7rrpnbvrnqhyurq5gror6x0/image;s=320x240,8,12152.375
c3,citroen,citroen c3 1.2 puretech collection,2016,82000,10390,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imvqcnowbta4oglomi1tverwvexqvcj9.sgekmptbvw77nvjcrjsgcityeujeja1g2fswnqyh2p0/image;s=320x240,7,11714.285714285714
a1,audi,audi a1 1.4 tdi s-line,2017,143448,18490,diesel,manual,none,6,23908.0
c3,citroen,citroen c3 aircross 1.2 puretech c-series,2022,21147,18500,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imgwyzj5nwr1ank5ctetu1revlrmufqifq.pn8navrrmifr72f_i6htohfge-e0v86f692oilmzdhe/image;s=320x240,1,21147.0
c3,citroen,citroen c3 1.2 puretech feel,2017,139900,13500,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6invmyxfxngl3c3o5etetu1revlrmufqifq.yadxlhkwbhcy9uzzdk4ycdanhv3tctfdgpv79r8skou/image;s=320x240,6,23316.666666666668
c3,citroen,citroen c3 1.2 puretech c-series,2021,60938,14799,gasolina,manual,none,2,30469.0
c3,citroen,citroen c3 1.2 puretech shine,2022,36600,17900,gasolina,manual,none,1,36600.0
c3,citroen,citroen c3 1.2 puretech feel,2019,93000,13990,gasolina,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6imnsbwi4c2dryw82as1tverwvexqvcj9.ui-pyzanzkg8gmdbrg7guybhk_f-tnqk7tlb0osm69e/image;s=320x240,4,23250.0
c3,citroen,citroen c3 aircross 1.2 puretech c-series,2023,8235,20500,gasolina,manual,none,0,inf
c3,citroen,citroen c3 1.5 bluehdi shine pack,2021,29875,17950,diesel,manual,https://ireland.apollo.olxcdn.com/v1/files/eyjmbii6inbtn3jmb3jrznpvzjmtu1revlrmufqifq.9otjr7vgtnmruig3q_txlbxa9_e-ytbbs8r77cbgvhq/image;s=320x240,2,14937.5
